"Date","CrudeOil","NaturalGas","Coal","PPI"
1992-01-01,32.7697102238632,35.0744932548801,39.5,115.6
1992-02-01,33.0049440324606,35.0823400894668,39.5,116
1992-03-01,32.4863527868562,34.6267559986557,39.5,116.1
1992-04-01,34.9121556171838,36.6955488146343,39.5,116.3
1992-05-01,36.5528907661313,38.1993865055902,39.5,117.2
1992-06-01,39.1003693025871,40.3955794601432,39.5,118
1992-07-01,37.804576717797,39.4252025038632,39.5,117.9
1992-08-01,36.7367370299811,38.6040216963199,39.5,117.7
1992-09-01,37.8087792282507,39.5805080781193,39.5,118
1992-10-01,37.5186480800566,39.215446346299,37.25,118.1
1992-11-01,35.392164736157,37.2034942965323,35,117.8
1992-12-01,33.5716910332007,35.6110934568821,35,117.6
1993-01-01,32.2459180453794,34.6232165643281,35,118
1993-02-01,34.0992645017533,35.8925800928637,31,118.4
1993-03-01,34.6196524513268,36.4449153725067,31,118.7
1993-04-01,34.5039611082388,36.4172383071152,31,119.3
1993-05-01,33.9976063636581,35.904769833634,31,119.7
1993-06-01,32.4901606514452,34.5671921774618,31,119.5
1993-07-01,30.6271985492143,32.9570648676827,31,119.2
1993-08-01,30.7393623434949,33.0867276573307,31,118.7
1993-09-01,29.5492715794397,31.9988210836881,31,118.7
1993-10-01,30.7496410586086,32.8788777591253,31,119.1
1993-11-01,28.2240952667122,30.8434479363354,31,119
1993-12-01,25.0226785576373,27.9720698313336,31,118.6
1994-01-01,26.562193472187,29.0456891813219,31,119.1
1994-02-01,25.7668097922644,28.5308086092017,31,119.3
1994-03-01,25.6400534013261,28.1165046181179,29.5,119.7
1994-04-01,28.3793737252918,30.4089980386388,29.5,119.7
1994-05-01,30.7799687071982,32.5363934324843,31.4,119.9
1994-06-01,32.271224301855,34.0716317235301,33.6,120.5
1994-07-01,33.8091309865974,35.4625225176457,33.1,120.7
1994-08-01,31.8111082475368,33.727888258565,33.1,121.2
1994-09-01,30.2275387782569,32.3631911516867,33.1,121
1994-10-01,30.8793928296584,32.9620856256571,33.1,120.9
1994-11-01,32.2607114313679,34.0778712188942,33.1,121.5
1994-12-01,30.2567002432105,32.6290266521801,36.1,121.9
1995-01-01,31.67029078077,34.0542465348782,37.1,122.9
